Happy,Proability_h,Sad,Proability_s,Angry,Proability_a,Fear,Proability_f
neutral,0.7670033,sad,0.54969263,happy,0.816455,neutral,0.87165815
neutral,0.8537411,sad,0.652505,happy,0.6154921,neutral,0.7369567
neutral,0.89026845,sad,0.7821703,happy,0.70935225,neutral,0.876533
neutral,0.58897614,sad,0.793743,happy,0.8763346,neutral,0.6609294
happy,0.8715915,sad,0.69270587,happy,0.9012346,neutral,0.52815753
happy,0.9965521,sad,0.6899816,happy,0.69039255,neutral,0.6508744
happy,0.99751663,sad,0.7341343,neutral,0.74755305,neutral,0.65062004
happy,0.9975655,sad,0.5605797,neutral,0.8031333,neutral,0.5544338
happy,0.996878,sad,0.51531136,angry,0.46103036,neutral,0.567444
happy,0.994915,sad,0.6433736,angry,0.44092408,neutral,0.6620894
happy,0.99034554,sad,0.7418186,sad,0.8029157,neutral,0.54907745
happy,0.99382126,sad,0.626352,sad,0.8240597,neutral,0.51619476
happy,0.998114,sad,0.6803628,neutral,0.5909746,neutral,0.46830457
happy,0.9975368,sad,0.67683715,sad,0.73130727,neutral,0.559672
happy,0.995561,sad,0.72927797,neutral,0.8731645,neutral,0.7466786
happy,0.9966804,sad,0.5215552,neutral,0.96092886,neutral,0.761373
happy,0.9972083,sad,0.4930724,neutral,0.8742182,neutral,0.49807844
happy,0.9892119,sad,0.71385527,neutral,0.815183,neutral,0.41614106
happy,0.9966695,neutral,0.41505948,sad,0.50392973,neutral,0.51900923
happy,0.99465525,sad,0.6441808,angry,0.56606257,neutral,0.46815932
happy,0.9887842,sad,0.56930375,angry,0.47077903,neutral,0.61915135
happy,0.986821,neutral,0.65212756,angry,0.67287916,sad,0.47156376
happy,0.9584336,neutral,0.6617735,angry,0.48558635,neutral,0.5531482
happy,0.97324085,neutral,0.81169665,angry,0.6991897,neutral,0.4779349
happy,0.98866886,neutral,0.5730259,angry,0.7714965,fear,0.4539353
happy,0.96070224,neutral,0.41061538,sad,0.42259276,fear,0.29748327
happy,0.9726323,neutral,0.5687142,angry,0.66902745,fear,0.42877188
happy,0.9934923,neutral,0.42412576,angry,0.5246904,fear,0.5411839
happy,0.9861624,neutral,0.44588286,angry,0.55170417,fear,0.5333648
happy,0.97331816,sad,0.6907564,angry,0.6505529,fear,0.60564566
happy,0.98909736,sad,0.7258277,sad,0.5016418,fear,0.7744266
happy,0.99139035,sad,0.6352183,angry,0.7077229,fear,0.6776697
happy,0.9877099,sad,0.72399634,sad,0.76566464,fear,0.52774197
happy,0.9298719,sad,0.7059689,sad,0.6929155,fear,0.71252054
happy,0.96402574,sad,0.68136096,angry,0.34134808,fear,0.40632975
happy,0.99069864,sad,0.7208266,sad,0.5575839,fear,0.5222031
happy,0.9864516,sad,0.8134472,sad,0.513125,fear,0.46208826
happy,0.98835653,sad,0.842264,angry,0.4625799,fear,0.53093
happy,0.9861871,sad,0.8579802,sad,0.55418265,fear,0.5173124
happy,0.98357856,sad,0.84215355,sad,0.6203844,sad,0.43275332
happy,0.9820362,sad,0.79082084,sad,0.43930596,sad,0.4930092
happy,0.97762793,sad,0.7190701,sad,0.6033451,neutral,0.40496206
happy,0.99205303,sad,0.7750286,sad,0.52282965,sad,0.3824898
happy,0.9941203,sad,0.7630404,sad,0.41406867,fear,0.35427356
happy,0.9950127,sad,0.725887,sad,0.47075868,sad,0.3371322
happy,0.9935463,sad,0.8133758,sad,0.5149989,sad,0.421029
happy,0.9860195,sad,0.8018667,angry,0.3688174,sad,0.47046956
happy,0.95735306,sad,0.7567548,neutral,0.34057686,fear,0.63963956
happy,0.97920567,sad,0.7732701,sad,0.56903714,fear,0.5787269
happy,0.9759799,sad,0.69623303,sad,0.47753963,fear,0.6881093
happy,0.98733366,sad,0.79036206,sad,0.41175565,fear,0.68392414
happy,0.98843294,sad,0.6989874,sad,0.4288937,fear,0.60102373
happy,0.9817136,sad,0.870594,sad,0.5118735,fear,0.6955544
happy,0.9610711,sad,0.6705189,sad,0.45651862,fear,0.7970955
happy,0.9715983,sad,0.6434092,neutral,0.40554315,fear,0.877678
happy,0.9877115,sad,0.7290651,sad,0.49694678,fear,0.7813079
happy,0.9878405,sad,0.46999422,sad,0.37815166,fear,0.6160635
happy,0.9809738,sad,0.6120552,sad,0.3935004,fear,0.61634326
happy,0.97813123,sad,0.5375397,sad,0.4623566,fear,0.5487206
happy,0.9625431,sad,0.46433416,sad,0.53688794,sad,0.46617123
happy,0.9729888,sad,0.54615206,neutral,0.40948668,sad,0.55540574
happy,0.9802002,sad,0.62232405,angry,0.8198213,sad,0.5014937
happy,0.93462175,neutral,0.48450825,angry,0.669383,fear,0.62377864
happy,0.97195894,sad,0.6225784,angry,0.5452201,fear,0.8253588
happy,0.9107707,sad,0.56105876,angry,0.62994796,fear,0.83157784
happy,0.8569218,neutral,0.49285957,angry,0.62568074,fear,0.6625993
happy,0.9031042,sad,0.43815902,angry,0.64511913,fear,0.47984764
happy,0.9243748,neutral,0.45651254,angry,0.41902646,fear,0.7657714
happy,0.94915044,sad,0.61144686,angry,0.44489467,fear,0.8607128
happy,0.9816784,sad,0.5062127,angry,0.49272785,fear,0.74094015
happy,0.955529,neutral,0.40761852,angry,0.6026029,fear,0.805013
happy,0.97993773,sad,0.5758964,angry,0.7427784,fear,0.71060824
happy,0.9794333,sad,0.66627634,angry,0.71003413,fear,0.5286842
happy,0.97419864,sad,0.56542426,angry,0.6632976,fear,0.32733613
happy,0.9773283,sad,0.55338466,angry,0.6197163,fear,0.38645783
happy,0.99318886,sad,0.58785707,angry,0.70799035,fear,0.42495227
happy,0.9747865,sad,0.61082745,angry,0.79345775,fear,0.39873135
happy,0.9579424,sad,0.5234399,angry,0.5820486,fear,0.3243936
happy,0.9768529,sad,0.74193037,angry,0.55213374,sad,0.40265235
happy,0.9849278,sad,0.88723725,angry,0.3755573,sad,0.35103393
happy,0.9710137,sad,0.8542038,sad,0.3625419,sad,0.38168642
